OrderID,CustomerName,Product,Region,Sales,Profit,Quantity,OrderDate,Salesperson
1001,Nikhil Verma,Mouse,South,71.91,11.45,1,2026-01-27,Shalini Gupta
1002,Anita Singh,SSD,North,172.19,21.54,1,2026-02-25,Neha Singh
1003,Pavan Kumar,Laptop,West,5394.75,1208.32,5,2026-02-26,Pooja Mehta
1004,Manish Yadav,Printer,West,377.64,54.96,1,2026-03-29,Rohit Verma
1005,Vikram Joshi,Monitor,East,638.13,115.37,3,2026-03-30,Karthik Rao
1006,Meera Iyer,Laptop,West,7880.88,1103.1,6,2026-01-21,Karthik Rao
1007,Suresh Babu,Headphones,South,334.6,43.88,5,2026-03-16,Amit Kumar
1008,Keerthi Rao,Monitor,East,301.64,58.08,1,2026-02-11,Rohit Verma
1009,Harish Kumar,Monitor,North,1592.58,429.78,6,2026-06-05,Shalini Gupta
1010,Anjali Gupta,SSD,East,639.06,123.95,6,2026-06-13,Shalini Gupta
1011,Lakshmi Devi,Monitor,North,1702.62,413.62,6,2026-02-28,Amit Kumar
1012,Bhavana Reddy,Headphones,East,309.92,47.65,4,2026-02-24,Shalini Gupta
1013,Rohan Das,Webcam,South,768.0,124.71,6,2026-05-24,Karthik Rao
1014,Meera Iyer,Webcam,South,589.5,91.43,5,2026-05-11,Pooja Mehta
1015,Arjun Patel,Laptop,West,1037.56,151.07,1,2026-06-02,Amit Kumar
1016,Divya Menon,Webcam,North,1096.7,224.45,5,2026-06-24,Shalini Gupta
1017,Sneha Rao,SSD,East,618.09,107.81,3,2026-04-22,Neha Singh
1018,Aisha Khan,Laptop,South,10129.62,1642.44,6,2026-05-10,Amit Kumar
1019,Keerthi Rao,Printer,East,1813.8,275.38,6,2026-02-11,Karthik Rao
1020,Rakesh Kumar,SSD,North,173.8,34.44,1,2026-04-03,Rohit Verma
1021,Deepak Nair,Laptop,North,3380.42,917.82,2,2026-05-05,Amit Kumar
1022,Rakesh Kumar,SSD,South,168.78,33.09,2,2026-03-09,Karthik Rao
1023,Keerthi Rao,Webcam,South,415.84,100.15,2,2026-03-21,Pooja Mehta
1024,Pooja Sharma,Headphones,South,663.8,127.61,4,2026-02-27,Amit Kumar
1025,Kavya Rani,Laptop,North,6992.65,1497.48,5,2026-01-19,Shalini Gupta
1026,Nikhil Verma,Laptop,East,1921.32,240.22,2,2026-01-19,Karthik Rao
1027,Deepak Nair,Printer,West,1773.72,365.88,6,2026-03-04,Pooja Mehta
1028,Bhavana Reddy,Webcam,East,132.08,29.78,2,2026-04-19,Pooja Mehta
1029,Aisha Khan,Laptop,North,8928.66,1994.56,6,2026-04-14,Shalini Gupta
1030,Kavya Rani,Mouse,South,66.82,13.75,2,2026-04-19,Neha Singh
1031,Meera Iyer,Tablet,North,1724.28,227.71,2,2026-01-13,Shalini Gupta
1032,Lakshmi Devi,Laptop,South,1733.73,443.47,1,2026-04-15,Pooja Mehta
1033,Rohan Das,Monitor,North,1875.12,274.41,4,2026-04-10,Rohit Verma
1034,Sonia Das,Tablet,West,1638.33,447.54,3,2026-02-09,Neha Singh
1035,Suresh Babu,Monitor,East,365.34,75.53,1,2026-01-15,Amit Kumar
1036,Manish Yadav,Tablet,North,4467.85,915.82,5,2026-05-11,Amit Kumar
1037,Keerthi Rao,Keyboard,South,105.45,24.05,1,2026-04-14,Amit Kumar
1038,Mohan Gupta,Monitor,West,1851.25,405.61,5,2026-06-18,Karthik Rao
1039,Manish Yadav,SSD,East,712.77,108.83,3,2026-03-03,Rohit Verma
1040,Divya Menon,Keyboard,North,666.06,128.65,6,2026-01-03,Pooja Mehta
1041,Swathi Reddy,Mouse,South,57.63,11.58,1,2026-03-31,Amit Kumar
1042,Mohan Gupta,Monitor,East,813.6,154.67,3,2026-06-06,Shalini Gupta
1043,Pavan Kumar,Laptop,North,9812.34,1647.5,6,2026-02-04,Rohit Verma
1044,Sneha Rao,Mouse,South,352.38,57.64,6,2026-03-29,Neha Singh
1045,Pooja Sharma,Printer,North,1482.8,392.73,5,2026-01-24,Shalini Gupta
1046,Naveen Rao,Printer,East,151.06,36.76,1,2026-02-11,Shalini Gupta
